"is_card","set_code","rarity_code","character_name","card_number","confidence","notes","file_path","filename","current_directory","needs_move","move_to"
TRUE,"TF01","SR-005","QINLU","R-0064","high","This card is specifically a rare card of 0064 among 001-124 in this set.","D:\dev\p\trading_card_games\kayou_transformers/TF01/cards/tca_r-029.jpg","tca_r-029.jpg","TF01",FALSE,NA
TRUE,"TF01","R","Clobber","031/036","high","Transformers One","D:\dev\p\trading_card_games\kayou_transformers/TF01/cards/tca_r-031.jpg","tca_r-031.jpg","TF01",FALSE,NA
TRUE,"TF01","LR","Grimlock","R-001","high","This card is part of Series 1, which contains 124 cards with G1 cartoon art, Chinese text, and varied rarity codes.","D:\dev\p\trading_card_games\kayou_transformers/TF01/cards/tca_sr-005.jpg","tca_sr-005.jpg","TF01",FALSE,NA
TRUE,"TF01","SR","Megatron","SR-012/020","high","The image shows a card from the TF01 Series 1 set. The artist style is not distinguishable here, but the card uses G1 comic art in Chinese text with a Chinese numerals format.","D:\dev\p\trading_card_games\kayou_transformers/TF01/cards/tca_sr-012.jpg","tca_sr-012.jpg","TF01",FALSE,NA
TRUE,"TF01","SR","Thundercracker","TF01-07","high","G1 cartoon style, Chinese text, SR rarity","D:\dev\p\trading_card_games\kayou_transformers/TF01/cards/tca_sr-017.jpg","tca_sr-017.jpg","TF01",FALSE,NA
TRUE,"TF02","SHR","Starscream","TF01-SSR-044/046","high","Chinese text on card","D:\dev\p\trading_card_games\kayou_transformers/TF01/cards/tca_ssr-004.jpg","tca_ssr-004.jpg","TF01",TRUE,"TF02"
TRUE,"TF01","SSR","Human","TF-01SSR-SSR006016","medium","This card is from the Transformers: Generation 1 ('G1') series and has a Chinese text on it. The card number format is 'SSR' followed by numbers. The card appears to be a collectible item from the series, although it requires further verification of the rarity code for precise identification.","D:\dev\p\trading_card_games\kayou_transformers/TF01/cards/tca_ssr-006.jpg","tca_ssr-006.jpg","TF01",FALSE,NA
TRUE,"TF01","SSR","Optimus Prime","TF01-SSR-004/016","high","","D:\dev\p\trading_card_games\kayou_transformers/TF01/cards/tca_ssr-016.jpg","tca_ssr-016.jpg","TF01",FALSE,NA
TRUE,"TF02","UR","Megatron","UR-05","high","Series 2 G1 transformers card with both art styles.","D:\dev\p\trading_card_games\kayou_transformers/TF01/cards/tca_ur-006.jpg","tca_ur-006.jpg","TF01",TRUE,"TF02"
TRUE,"TF01","UR","Skywalks","008/009","high","","D:\dev\p\trading_card_games\kayou_transformers/TF01/cards/tca_ur-008.jpg","tca_ur-008.jpg","TF01",FALSE,NA
